ID,Edad,Ciudad,Puntaje,Ingreso
2242,48,Puebla,85,32723
2243,61,Puebla,75,39973
2244,27,Puebla,82,33756
2245,56,Puebla,85,13513
2246,30,Monterrey,53,48316
2247,48,CDMX,58,35225
2248,24,Toluca,57,9379
2249,59,CDMX,51,45835
2250,59,CDMX,78,16305
2251,53,Guadalajara,72,36722
2252,37,Puebla,55,17148
2253,21,Monterrey,92,17901
2254,24,Puebla,85,15888
2255,18,Puebla,95,35099
2256,61,CDMX,70,47476
2257,62,Guadalajara,71,49253
2258,59,Puebla,58,25708
2259,64,Toluca,83,32621
2260,30,Toluca,75,35001
2261,39,Puebla,50,37571
2262,38,CDMX,85,19220
2263,39,CDMX,93,29694
2264,45,Monterrey,54,21221
2265,26,Guadalajara,90,44849
2266,43,CDMX,71,7371
2267,26,Monterrey,53,42784
2268,32,Toluca,97,44070
2269,27,Toluca,51,44150
2270,41,Toluca,65,49220
2271,59,Puebla,65,27836
2272,25,Guadalajara,71,32161
2273,41,Monterrey,92,26180
2274,33,Guadalajara,50,20865
2275,43,Puebla,64,23825
2276,44,Monterrey,73,32275
2277,54,Monterrey,53,6017
2278,21,CDMX,67,25885
2279,41,Guadalajara,66,40815
2280,36,Guadalajara,56,15260
2281,53,CDMX,99,16857
2282,56,Toluca,94,42018
2283,27,Puebla,59,34230
2284,42,Guadalajara,50,29769
2285,35,CDMX,51,45159
2286,36,Monterrey,98,40214
2287,53,CDMX,71,37492
2288,27,Toluca,81,28507
2289,50,Puebla,78,48479
2290,22,Toluca,84,27679
2291,64,Monterrey,66,49887
2292,52,Monterrey,61,8687
2293,61,Monterrey,73,12864
2294,51,Monterrey,79,11127
2295,50,CDMX,93,34473
2296,38,Monterrey,79,18834
2297,34,Monterrey,69,13921
2298,39,CDMX,91,33573
2299,54,Monterrey,56,42876
2300,32,Toluca,91,9266
2301,52,Toluca,99,42713
2302,45,Guadalajara,87,13985
2303,24,Toluca,56,27068
2304,49,Puebla,98,29700
2305,28,Puebla,79,13366
2306,27,Puebla,61,40319
2307,26,CDMX,98,8848
2308,31,Toluca,80,35472
2309,30,Puebla,67,8456
2310,42,Guadalajara,95,24142
2311,19,CDMX,92,17031
2312,52,Guadalajara,51,25139
2313,24,Toluca,82,25026
2314,38,Monterrey,60,45887
2315,35,Guadalajara,83,33777
2316,20,Monterrey,65,47930
2317,59,CDMX,84,6660
2318,56,Guadalajara,82,32151
2319,58,Guadalajara,70,29613
2320,28,CDMX,69,34066
2321,56,CDMX,57,18208
2322,41,Puebla,75,48484
2323,63,Toluca,82,24960
2324,36,Guadalajara,75,35702
2325,21,Guadalajara,86,27842
2326,43,CDMX,79,16727
2327,55,CDMX,80,37389
2328,59,Toluca,82,31804
2329,49,CDMX,60,18021
2330,56,Monterrey,90,49001
2331,62,Monterrey,54,24092
2332,63,Monterrey,51,33915
2333,53,Monterrey,62,15501
2334,57,Toluca,67,46190
2335,54,Guadalajara,75,20739
2336,50,Monterrey,74,48653
2337,53,CDMX,93,12476
2338,20,Monterrey,63,12931
2339,26,Toluca,54,18699
2340,25,CDMX,91,7804
2341,50,Monterrey,51,43343
2342,23,Guadalajara,53,16775
2343,58,CDMX,61,48449
2344,56,CDMX,60,36586
2345,21,Guadalajara,53,5607
2346,30,CDMX,92,36629
2347,19,Monterrey,58,42386
2348,22,CDMX,59,19089
2349,61,Monterrey,76,34708
2350,44,Guadalajara,55,42025
2351,49,Puebla,64,15223
2352,38,Guadalajara,91,27943
2353,25,Monterrey,80,26515
2354,55,Toluca,71,34619
2355,25,Guadalajara,55,39132
2356,20,Toluca,82,5751
2357,61,Toluca,78,45313
2358,20,Monterrey,70,10344
2359,39,Monterrey,79,38973
2360,23,Puebla,70,14512
2361,19,CDMX,85,41655
2362,40,Guadalajara,71,39098
2363,61,Monterrey,95,13622
2364,19,Guadalajara,69,42451
2365,55,Toluca,71,23658
2366,34,CDMX,89,41133
2367,52,Puebla,60,22647
2368,51,Guadalajara,96,25620
2369,40,CDMX,80,42067
2370,47,Puebla,89,8733
2371,25,Guadalajara,62,34675
2372,39,CDMX,67,6665
2373,61,Monterrey,71,5860
2374,53,Guadalajara,66,32618
2375,22,CDMX,87,32916
2376,30,Puebla,74,16681
2377,46,CDMX,81,21520
2378,48,Monterrey,64,27131
2379,64,Guadalajara,62,27878
2380,33,Guadalajara,75,16424
2381,59,Guadalajara,99,43554
2382,47,Monterrey,60,31796
2383,33,Puebla,62,14345
2384,29,Guadalajara,82,32486
2385,34,Puebla,99,27584
2386,33,CDMX,86,31986
2387,29,Puebla,87,16598
2388,25,Puebla,50,13325
2389,37,Guadalajara,88,23445
2390,20,Toluca,76,42146
2391,33,Toluca,85,48813
2392,47,Monterrey,81,8730
2393,62,Monterrey,90,16684
2394,40,Toluca,64,43890
2395,45,CDMX,80,39563
2396,57,Guadalajara,55,15041
2397,22,Guadalajara,74,13187
2398,37,CDMX,98,42608
2399,57,CDMX,67,37624
2400,61,Toluca,71,15919
2401,18,Monterrey,80,8726
2402,47,CDMX,85,36716
2403,38,Monterrey,58,38027
2404,37,Puebla,95,6843
2405,23,Guadalajara,52,18754
2406,39,Toluca,82,33853
2407,35,Guadalajara,76,7280
2408,25,Toluca,92,30531
2409,56,Puebla,50,34788
2410,49,Guadalajara,93,12796
2411,50,Puebla,58,9567
2412,33,Toluca,54,35211
2413,29,CDMX,64,14300
2414,55,Guadalajara,99,37150
2415,51,Puebla,58,6255
2416,31,Guadalajara,94,36828
2417,53,Guadalajara,77,11462
2418,50,Guadalajara,62,48200
2419,40,Monterrey,73,23042
2420,62,Puebla,94,32560
2421,19,Puebla,59,24032
2422,58,Guadalajara,91,17150
2423,38,CDMX,71,8371
2424,19,Guadalajara,88,24813
2425,44,Monterrey,71,12620
2426,26,Toluca,86,7932
2427,18,Monterrey,88,26470
2428,28,CDMX,69,14778
2429,20,Guadalajara,59,28033
2430,40,Puebla,59,15304
2431,43,Guadalajara,75,13119
2432,21,CDMX,74,19407
2433,35,Puebla,77,9983
2434,23,Monterrey,62,7521
2435,52,Toluca,64,24086
2436,39,Toluca,55,5783
2437,60,Guadalajara,61,47666
2438,32,Monterrey,68,21798
2439,39,CDMX,81,13555
2440,54,Toluca,60,15767
2441,59,Monterrey,87,6103
2442,29,Guadalajara,82,10309
2443,64,Puebla,51,38939
2444,59,Guadalajara,64,13634
2445,55,Guadalajara,85,44176
2446,35,Monterrey,54,17135
2447,62,Toluca,64,37044
2448,52,Monterrey,92,25945
2449,47,Puebla,59,44404
2450,41,Monterrey,66,7589
2451,59,CDMX,83,15031
2452,47,Guadalajara,73,14695
2453,31,Toluca,59,20527
2454,23,Puebla,79,10722
2455,20,Guadalajara,52,5841
2456,33,Monterrey,86,23731
2457,24,CDMX,52,5645
2458,31,Monterrey,89,37116
2459,26,Guadalajara,54,45983
2460,32,Puebla,77,34402
2461,38,Toluca,93,36749
2462,52,Guadalajara,63,41469
2463,19,Puebla,88,18908
2464,44,Guadalajara,60,47231
2465,19,CDMX,57,17715
2466,52,Monterrey,86,43398
2467,35,Toluca,57,40324
2468,31,Puebla,61,24338
2469,37,Toluca,64,12387
2470,35,Toluca,68,28172
2471,27,Toluca,97,31175
2472,42,Puebla,95,35795
2473,19,Puebla,77,47626
2474,42,Toluca,56,42429
2475,50,Monterrey,89,8801
2476,53,Guadalajara,56,12413
2477,48,Toluca,79,49839
2478,31,CDMX,67,22665
2479,18,Toluca,73,15856
2480,63,Puebla,55,36100
2481,33,Guadalajara,53,48855
2482,63,CDMX,52,13187
2483,20,Guadalajara,98,30784
2484,52,Guadalajara,96,18805
2485,58,CDMX,55,46715
2486,23,Toluca,75,47186
2487,42,Toluca,93,12575
2488,30,Toluca,87,47193
2489,51,Monterrey,60,43746
2490,25,Toluca,78,33093
2491,38,CDMX,69,14089
2492,51,Monterrey,59,34454
2493,21,Toluca,75,27474
2494,42,Monterrey,97,13154
2495,32,CDMX,76,45951
2496,21,Toluca,99,27064
2497,62,Puebla,63,32886
2498,29,CDMX,85,34398
2499,49,Guadalajara,61,41130
2500,49,Guadalajara,72,48869
2501,45,CDMX,70,14646
2502,30,Guadalajara,57,30391
2503,48,CDMX,88,33822
2504,31,Puebla,58,42872
2505,37,CDMX,73,26999
2506,35,Toluca,80,14512
2507,46,Toluca,74,34340
2508,23,Monterrey,66,21069
2509,49,Guadalajara,91,9502
2510,46,Guadalajara,78,37236
2511,60,CDMX,52,29007
2512,19,Guadalajara,70,25971
2513,40,Toluca,57,11037
2514,36,Puebla,63,47060
2515,48,CDMX,88,32361
2516,22,Guadalajara,65,19466
2517,36,Toluca,67,38764
2518,51,Monterrey,80,35583
2519,27,Guadalajara,60,14627
2520,42,Puebla,87,26593
2521,19,Puebla,69,25084
2522,28,Guadalajara,95,28149
2523,48,Guadalajara,94,42752
2524,32,Toluca,53,21737
2525,26,Guadalajara,69,7318
2526,40,Monterrey,80,30314
2527,36,Toluca,69,40287
2528,26,CDMX,60,35451
2529,52,Monterrey,99,10427
2530,38,Toluca,50,42371
2531,26,Toluca,93,29630
2532,45,Puebla,67,38667
2533,63,Toluca,88,31678
2534,24,Monterrey,93,30099
2535,33,Guadalajara,82,36634
2536,33,Monterrey,85,21846
2537,50,CDMX,67,22885
2538,21,Toluca,96,17068
2539,21,Toluca,80,22099
2540,56,Toluca,84,43098
2541,57,Toluca,88,32873
2542,34,Puebla,87,28558
2543,54,Puebla,64,35518
2544,56,Guadalajara,96,14180
2545,46,Toluca,55,21595
2546,53,CDMX,57,28740
2547,55,Guadalajara,89,32722
2548,56,Toluca,71,8750
2549,54,Puebla,50,16881
2550,52,CDMX,62,24606
2551,24,Guadalajara,73,21819
2552,44,CDMX,70,31477
2553,45,Toluca,94,33755
2554,39,Monterrey,92,30811
2555,31,CDMX,53,42697
2556,24,CDMX,56,23344
2557,54,Puebla,61,25656
2558,39,Toluca,62,31382
2559,22,CDMX,93,36031
2560,19,Toluca,65,10813
2561,44,Puebla,55,6724
2562,38,Toluca,63,6494
2563,55,Puebla,97,23363
2564,32,Puebla,80,26812
2565,38,Guadalajara,85,25437
2566,27,Toluca,86,46205
2567,40,Monterrey,90,35524
2568,56,Guadalajara,84,12160
2569,22,Puebla,59,46343
2570,18,Monterrey,66,28593
2571,30,CDMX,91,5284
2572,38,CDMX,79,42851
2573,43,Guadalajara,93,25378
2574,62,Monterrey,56,13491
2575,38,Toluca,67,5900
2576,35,Monterrey,68,6459
2577,54,Guadalajara,64,18680
2578,62,Toluca,88,24305
2579,49,Toluca,93,40301
2580,53,CDMX,71,37692
2581,34,Monterrey,88,44347
2582,52,Toluca,91,22189
2583,28,Guadalajara,79,12595
2584,38,CDMX,69,23612
2585,43,Toluca,81,6921
2586,21,Monterrey,91,42740
2587,51,CDMX,74,7387
2588,35,Monterrey,72,15730
2589,57,Monterrey,54,19830
2590,52,Monterrey,99,39764
2591,58,CDMX,90,9825
2592,46,Toluca,79,10282
2593,46,Puebla,97,18869
2594,55,Toluca,88,20451
2595,59,CDMX,76,37872
2596,38,Puebla,91,46398
2597,59,Puebla,86,22905
2598,30,Puebla,56,39119
2599,58,Guadalajara,54,7698
2600,34,CDMX,64,24996
2601,26,Guadalajara,91,21892
2602,58,Puebla,57,43078
2603,18,Guadalajara,58,11190
2604,19,Guadalajara,60,18166
2605,46,CDMX,71,34689
2606,50,Monterrey,83,40590
2607,27,Guadalajara,84,36604
2608,57,Guadalajara,62,8921
2609,38,Puebla,60,33991
2610,45,Puebla,81,22243
2611,28,Puebla,91,48787
2612,51,Toluca,64,39315
2613,25,Guadalajara,87,37035
2614,39,Puebla,50,39844
2615,25,CDMX,95,21820
2616,32,Toluca,99,27469
2617,34,Monterrey,73,41425
2618,40,Guadalajara,92,5735
2619,41,Guadalajara,89,12214
2620,62,CDMX,71,28968
2621,36,Monterrey,52,49624
2622,22,Monterrey,63,41862
2623,49,Toluca,51,9728
2624,61,Guadalajara,81,41497
2625,18,Puebla,97,12241
2626,40,CDMX,87,22460
2627,54,CDMX,82,15472
2628,25,CDMX,95,39598
2629,30,CDMX,91,47858
2630,25,Puebla,55,22057
2631,40,Puebla,90,19432
2632,60,Toluca,88,38663
2633,18,Guadalajara,74,23953
2634,62,Puebla,83,22297
2635,41,Toluca,60,45041
2636,52,Monterrey,95,11696
2637,41,Guadalajara,86,34347
2638,34,Puebla,90,26249
2639,22,Monterrey,56,24657
2640,37,Toluca,95,27960
2641,38,Puebla,97,22906
2642,57,Puebla,71,45245
2643,48,Monterrey,97,7802
2644,63,Puebla,88,40890
2645,53,CDMX,59,40224
2646,28,Puebla,70,23033
2647,32,Guadalajara,55,40088
2648,36,Monterrey,98,48465
2649,24,Guadalajara,50,22527
2650,45,Toluca,83,16964
2651,60,Guadalajara,63,46005
2652,22,CDMX,85,24698
2653,22,CDMX,76,9406
2654,47,Guadalajara,58,34002
2655,49,Toluca,55,33682
2656,25,Puebla,80,12591
2657,27,CDMX,66,8119
2658,55,Guadalajara,92,26873
2659,64,Guadalajara,85,41279
2660,49,Guadalajara,70,41596
2661,45,Puebla,76,21949
2662,34,Monterrey,90,12651
2663,48,Toluca,77,31896
2664,25,Monterrey,65,36660
2665,57,Toluca,84,46860
2666,42,Toluca,85,15370
2667,26,Guadalajara,84,49552
2668,19,CDMX,94,40539
2669,32,Guadalajara,68,11777
2670,20,Puebla,70,5113
2671,53,Toluca,82,5531
2672,21,CDMX,72,14714
2673,31,Toluca,55,8410
2674,58,Toluca,81,14236
2675,58,Guadalajara,71,29608
2676,42,CDMX,52,13324
2677,27,CDMX,84,16159
2678,38,Toluca,65,39494
2679,53,CDMX,91,45985
2680,29,CDMX,74,37107
2681,44,Guadalajara,66,40416
2682,57,Monterrey,88,36835
2683,19,Puebla,62,14453
2684,30,Monterrey,77,39833
2685,49,CDMX,60,32921
2686,48,Toluca,59,5933
2687,33,Puebla,88,36008
2688,49,Puebla,73,6050
2689,49,Toluca,87,30392
2690,51,Puebla,73,37177
2691,28,Toluca,82,44884
2692,27,Puebla,66,27851
2693,32,Monterrey,93,16106
2694,34,Puebla,85,11878
2695,57,Guadalajara,84,5792
2696,35,Toluca,55,16367
2697,26,Puebla,65,43731
2698,42,Toluca,94,14547
2699,57,Guadalajara,77,39153
2700,31,Puebla,90,33568
2701,42,Puebla,81,47331
2702,39,Guadalajara,75,29307
2703,47,Guadalajara,60,9138
2704,37,Guadalajara,74,12693
2705,38,Toluca,80,16394
2706,61,Guadalajara,70,28876
2707,49,Toluca,94,44095
2708,63,Monterrey,52,8353
2709,38,Puebla,61,20205
2710,52,Puebla,89,9628
2711,49,CDMX,95,34990
2712,47,Monterrey,90,43095
2713,56,Guadalajara,74,32623
2714,29,Guadalajara,66,26433
2715,58,Monterrey,87,15058
2716,64,Guadalajara,85,31524
2717,35,CDMX,85,17093
2718,38,Toluca,68,21684
2719,30,Puebla,93,33698
2720,38,Monterrey,51,23984
2721,25,Puebla,66,19907
2722,63,Toluca,79,17921
2723,57,Monterrey,96,25402
2724,63,Toluca,59,8082
2725,24,Guadalajara,84,12074
2726,40,Guadalajara,85,34330
2727,61,Guadalajara,82,22623
2728,49,Toluca,50,48328
2729,28,Toluca,67,5459
2730,39,Toluca,53,7801
2731,39,Puebla,96,33831
2732,60,Toluca,76,21847
2733,42,Guadalajara,74,5997
2734,39,CDMX,77,27025
2735,45,Toluca,71,37379
2736,46,CDMX,91,11384
2737,30,Guadalajara,74,18223
2738,35,Toluca,66,16198
2739,19,Puebla,93,39446
2740,46,Puebla,61,38632
2741,38,CDMX,65,14382
2742,32,Puebla,86,29120
2743,44,Puebla,65,40465
2744,48,Puebla,66,31950
2745,32,Guadalajara,80,49875
2746,40,Puebla,64,34968
2747,41,Monterrey,62,7926
2748,61,Toluca,89,20735
2749,30,Puebla,76,19223
2750,39,Puebla,70,45310
2751,60,Puebla,51,42197
2752,54,Monterrey,57,20362
2753,50,Puebla,91,44986
2754,20,Puebla,56,28409
2755,36,Toluca,59,7397
2756,40,Monterrey,53,19451
2757,46,Monterrey,92,10814
2758,47,Puebla,90,27888
2759,56,Monterrey,85,12522
2760,61,CDMX,84,27169
2761,64,Monterrey,92,25382
2762,42,Monterrey,52,20588
2763,54,Monterrey,67,20762
2764,64,Guadalajara,95,20577
2765,25,Guadalajara,92,25931
2766,59,Guadalajara,73,14970
2767,33,Monterrey,81,44278
2768,25,CDMX,83,25045
2769,18,Monterrey,51,20919
2770,61,Puebla,51,49329
2771,22,CDMX,59,32671
2772,20,Guadalajara,72,15349
2773,18,Toluca,64,11058
2774,21,CDMX,61,49321
2775,57,Guadalajara,92,8515
2776,52,CDMX,66,8330
2777,49,CDMX,67,39442
2778,59,Monterrey,63,48825
2779,51,Puebla,66,22745
2780,60,Toluca,64,13978
2781,42,Guadalajara,61,21939
2782,27,CDMX,65,20264
2783,38,Toluca,81,31615
2784,63,CDMX,72,37165
2785,56,Puebla,87,47722
2786,44,Toluca,83,39880
2787,44,Guadalajara,83,23594
2788,19,CDMX,65,20523
2789,58,Puebla,83,6701
2790,30,Toluca,89,37758
2791,26,CDMX,56,40480
2792,53,CDMX,82,31983
2793,39,Guadalajara,53,40084
2794,59,Puebla,92,44237
2795,43,Monterrey,56,39378
2796,29,CDMX,67,25736
2797,34,Toluca,53,11343
2798,31,Guadalajara,98,20797
2799,31,Guadalajara,60,47087
2800,51,CDMX,92,26875
2801,37,CDMX,69,46864
2802,28,CDMX,60,46123
2803,33,Monterrey,64,14328
2804,48,CDMX,95,42478
2805,23,Puebla,66,7025
2806,36,Toluca,83,5105
2807,54,CDMX,99,34370
2808,21,Monterrey,97,25843
2809,64,Toluca,61,24476
2810,21,Guadalajara,91,47981
2811,37,CDMX,77,47112
2812,27,Toluca,97,5698
2813,41,Guadalajara,84,33443
2814,52,Monterrey,57,49230
2815,43,Puebla,76,46706
2816,54,CDMX,71,43839
2817,55,Puebla,73,27123
2818,38,Monterrey,51,46920
2819,57,Toluca,80,24875
2820,56,Toluca,71,8297
2821,38,Monterrey,50,5208
2822,27,Monterrey,63,24700
2823,55,CDMX,74,26791
2824,63,Guadalajara,85,12233
2825,21,Puebla,85,6891
2826,62,Puebla,90,41274
2827,37,Toluca,52,7039
2828,34,Toluca,54,24673
2829,24,CDMX,50,47412
2830,21,Monterrey,68,44413
2831,46,Puebla,82,33436
2832,31,CDMX,91,39385
2833,20,Toluca,79,13186
2834,41,Toluca,61,5434
2835,54,Puebla,59,15519
2836,33,Toluca,83,23030
2837,21,Toluca,65,16355
2838,41,Guadalajara,89,19328
2839,51,Monterrey,95,10258
2840,47,Toluca,78,12190
2841,35,Guadalajara,64,27479
2842,36,CDMX,97,25827
2843,48,Toluca,60,15747
2844,36,CDMX,93,35917
2845,63,Toluca,83,35377
2846,36,Puebla,85,49956
2847,39,Guadalajara,79,45481
2848,41,Guadalajara,84,38148
2849,62,Puebla,58,46784
2850,29,Monterrey,67,28557
2851,47,Guadalajara,68,49335
2852,55,CDMX,88,39405
2853,48,Guadalajara,53,17479
2854,53,Monterrey,55,28927
2855,36,CDMX,82,38292
2856,62,CDMX,81,24491
2857,53,Puebla,65,6093
2858,47,Toluca,60,36008
2859,50,Puebla,71,5104
2860,35,Toluca,85,23123
2861,45,Puebla,99,31936
2862,64,Toluca,72,23060
2863,28,Guadalajara,75,29288
2864,62,CDMX,80,48314
2865,50,Toluca,78,29411
2866,34,Guadalajara,54,42684
2867,23,Monterrey,87,18336
2868,21,Puebla,74,42924
2869,37,Monterrey,83,16626
2870,64,Guadalajara,61,8501
2871,44,Monterrey,71,21850
2872,32,Monterrey,58,40712
2873,23,Guadalajara,69,25678
2874,64,CDMX,78,20905
2875,31,Toluca,93,6591
2876,28,Puebla,78,18522
2877,56,Toluca,94,21153
2878,26,Puebla,76,41840
2879,43,Toluca,66,8572
2880,33,Monterrey,54,43746
2881,22,CDMX,94,38061
2882,27,Monterrey,62,30497
2883,20,CDMX,91,27242
2884,30,Guadalajara,64,6338
2885,60,Puebla,64,21151
2886,47,Puebla,67,31990
2887,62,Guadalajara,99,20380
2888,23,Toluca,51,36035
2889,34,Guadalajara,72,31117
2890,62,Guadalajara,92,7498
2891,36,CDMX,62,30483
2892,59,Guadalajara,92,10728
2893,52,Puebla,53,23877
2894,63,Monterrey,96,31703
2895,43,CDMX,74,8088
2896,22,CDMX,60,44049
2897,46,Toluca,99,28179
2898,54,Monterrey,97,27011
2899,37,CDMX,91,17839
2900,38,Guadalajara,61,28625
2901,27,CDMX,62,23481
2902,22,CDMX,58,36753
2903,53,CDMX,94,24558
2904,23,Toluca,87,21771
2905,43,CDMX,55,36104
2906,21,CDMX,92,38066
2907,56,Toluca,92,49420
2908,56,Monterrey,59,9061
2909,52,Puebla,72,38241
2910,18,Toluca,64,21161
2911,41,Toluca,94,10057
2912,53,CDMX,72,49173
2913,23,CDMX,89,10289
2914,58,Puebla,86,46408
2915,63,CDMX,83,7221
2916,61,Guadalajara,65,47942
2917,48,CDMX,94,26635
2918,37,CDMX,90,24026
2919,41,Guadalajara,96,12075
2920,42,Puebla,81,27378
2921,53,Guadalajara,87,40084
2922,38,Toluca,89,18681
2923,47,Guadalajara,95,36584
2924,41,Monterrey,54,36245
2925,61,Toluca,66,9983
2926,59,CDMX,71,37249
2927,47,Toluca,88,36391
2928,39,Puebla,90,35897
2929,45,Puebla,97,45602
2930,24,Guadalajara,67,25002
2931,52,Toluca,77,15498
2932,45,CDMX,62,8206
2933,31,Puebla,99,47472
2934,27,CDMX,91,17930
2935,33,Monterrey,50,15320
2936,33,Puebla,99,33014
2937,48,Guadalajara,68,42946
2938,59,Monterrey,83,36817
2939,42,Toluca,53,43126
2940,30,CDMX,92,31752
2941,23,Puebla,52,9507
2942,61,Monterrey,90,28925
2943,26,Monterrey,59,41276
2944,62,Puebla,77,28689
2945,53,Toluca,83,20238
2946,60,Toluca,88,29807
2947,37,Guadalajara,96,44522
2948,35,Toluca,68,13921
2949,60,Guadalajara,91,16204
2950,38,Monterrey,95,43284
2951,21,Puebla,85,43567
2952,50,Toluca,92,40697
2953,44,Guadalajara,52,29893
2954,24,Monterrey,72,6530
2955,23,Toluca,66,36241
2956,32,CDMX,56,29297
2957,35,Monterrey,75,14302
2958,49,Toluca,92,5715
2959,28,Monterrey,67,14533
2960,37,Puebla,95,45295
2961,41,Puebla,95,12223
2962,32,Puebla,55,18421
2963,24,CDMX,80,32696
2964,38,Puebla,78,19066
2965,59,CDMX,58,49047
2966,43,Puebla,84,26576
2967,61,Monterrey,66,21585
2968,31,Toluca,61,7140
2969,54,Toluca,85,47016
2970,38,Puebla,97,41439
2971,35,Toluca,73,46378
2972,22,Puebla,59,12370
2973,20,Puebla,79,34516
2974,40,Guadalajara,78,17022
2975,43,Guadalajara,88,23328
2976,54,Guadalajara,59,7929
2977,41,CDMX,88,48727
2978,36,Guadalajara,77,8383
2979,42,Puebla,67,32432
2980,38,Monterrey,90,16111
2981,29,Guadalajara,99,44778
2982,58,Guadalajara,66,36899
2983,50,Monterrey,60,28161
2984,21,Puebla,50,13823
2985,59,CDMX,66,32432
2986,24,Guadalajara,85,38089
2987,39,Monterrey,85,26053
2988,50,Puebla,95,22447
2989,34,Toluca,58,29305
2990,41,CDMX,94,8111
2991,51,Monterrey,77,32493
2992,45,Monterrey,97,15985
2993,60,Monterrey,82,8086
2994,58,Guadalajara,52,49930
2995,56,Toluca,57,28464
2996,39,CDMX,99,46918
2997,34,Puebla,55,41911
2998,51,Puebla,55,11332
2999,23,Toluca,78,44215
3000,63,Monterrey,86,47542
3001,23,Monterrey,61,45631
3002,51,Monterrey,58,8176
3003,18,Monterrey,90,7416
3004,27,Monterrey,98,45436
3005,38,Toluca,68,13651
3006,22,Guadalajara,66,15486
3007,19,CDMX,97,23695
3008,39,Monterrey,93,6229
3009,19,Guadalajara,81,6530
3010,27,Puebla,84,47347
3011,51,Toluca,63,40565
3012,33,Guadalajara,98,6363
3013,56,Monterrey,65,42270
3014,39,Monterrey,70,21836
3015,29,Monterrey,61,25288
3016,41,Guadalajara,73,27380
3017,64,Monterrey,83,25303
3018,57,Guadalajara,57,48972
3019,55,Monterrey,93,12317
3020,27,Puebla,70,8264
3021,52,Puebla,97,23315
3022,49,CDMX,57,42010
3023,24,Monterrey,77,17693
3024,38,Monterrey,65,21566
3025,37,Guadalajara,59,29811
3026,43,Guadalajara,64,38405
3027,21,Monterrey,53,24856
3028,63,CDMX,75,32366
3029,39,Monterrey,64,40138
3030,32,Guadalajara,85,47244
3031,57,Monterrey,81,47683
3032,38,Guadalajara,92,15638
3033,32,Monterrey,87,25816
3034,39,Toluca,53,25598
3035,45,Guadalajara,90,47541
3036,31,CDMX,58,15652
3037,44,Toluca,84,21963
3038,58,Monterrey,77,37223
3039,57,Guadalajara,86,36024
3040,45,Toluca,96,8941
3041,43,CDMX,58,13387
3042,19,Guadalajara,51,13524
3043,42,Toluca,52,40859
3044,20,Toluca,93,42486
3045,25,Toluca,97,46617
3046,61,Puebla,54,30279
3047,50,Monterrey,59,31025
3048,59,Guadalajara,77,22636
3049,52,Guadalajara,64,46483
3050,23,Guadalajara,63,48224
3051,56,Toluca,95,18277
3052,40,Monterrey,72,40190
3053,42,CDMX,62,45995
3054,60,Guadalajara,65,46735
3055,36,Monterrey,79,12539
3056,22,Monterrey,89,37853
3057,28,Puebla,57,31811
3058,29,Guadalajara,66,31928
3059,27,Toluca,79,11909
3060,25,Monterrey,66,33069
3061,41,Monterrey,84,42421
3062,45,CDMX,50,13033
3063,58,Puebla,98,15748
3064,53,Monterrey,73,10066
3065,54,Monterrey,97,16998
3066,38,Toluca,98,18764
3067,25,Toluca,74,39215
3068,26,CDMX,51,20858
3069,64,CDMX,74,43468
3070,32,CDMX,63,41111
3071,63,Toluca,88,22077
3072,57,Toluca,82,15257
3073,35,Puebla,66,49560
3074,59,Guadalajara,80,8665
3075,37,Guadalajara,59,40442
3076,23,Puebla,55,48358
3077,29,Guadalajara,88,21734
3078,19,Toluca,74,13840
3079,24,Guadalajara,87,17062
3080,33,Toluca,86,12044
3081,20,Puebla,79,7063
3082,62,CDMX,83,27313
3083,20,Puebla,67,32087
3084,44,Guadalajara,73,45181
3085,60,Toluca,98,23205
3086,57,Guadalajara,76,17464
3087,55,Guadalajara,76,48550
3088,50,CDMX,88,32132
3089,45,Guadalajara,70,47638
3090,18,CDMX,68,42427
3091,25,Toluca,88,40048
3092,54,Toluca,72,8749
3093,49,CDMX,88,40306
3094,60,Puebla,97,30592
3095,54,Toluca,93,23451
3096,21,Puebla,96,33258
3097,47,Toluca,64,49758
3098,23,Toluca,92,40302
3099,63,Monterrey,51,37856
3100,36,Guadalajara,84,26621
3101,49,Guadalajara,69,11577
3102,26,Puebla,77,24694
3103,29,Guadalajara,64,13263
3104,28,Puebla,65,22205
3105,63,Toluca,82,13072
3106,33,Monterrey,96,48876
3107,18,Monterrey,61,45130
3108,62,Toluca,88,48002
3109,38,CDMX,88,10691
3110,47,CDMX,92,27113
3111,30,Guadalajara,69,6953
3112,51,Puebla,78,9963
3113,21,Monterrey,92,43754
3114,45,Guadalajara,98,45520
3115,55,Toluca,52,32869
3116,48,Monterrey,97,16445
3117,44,Puebla,54,42759
3118,22,Puebla,51,25185
3119,42,CDMX,72,13447
3120,20,Guadalajara,75,39699
3121,50,Toluca,75,38640
3122,21,Monterrey,56,12954
3123,42,Puebla,59,22945
3124,37,Monterrey,54,43294
3125,51,Toluca,96,17920
3126,43,Monterrey,61,34984
3127,22,Guadalajara,81,10560
3128,52,CDMX,91,20389
3129,45,Monterrey,80,29265
3130,46,CDMX,71,46853
3131,26,Toluca,66,12715
3132,55,CDMX,69,24068
3133,23,Monterrey,69,14438
3134,36,Monterrey,92,10243
3135,61,Puebla,57,33629
